index_number,start_year,end_year,centre_year,frequency,duration,max_intensity,max_max_intensity,mean_intensity,intensity_variablity,cumulative_intensity,rate_onset,rate_decline,mhw_days,total_cumulative_intensity
1,1993.0,1995.0,1994.0,1.0,6.0,1.8948442454516652,1.8948442454516652,1.741977330074521,0.11305061797849464,10.451863980447126,0.41633025326273315,0.1448874658826386,6.0,10.451863980447126
2,1996.0,1998.0,1997.0,12.0,8.583333333333334,2.276838427810296,3.771768254018724,1.8363752423148958,0.2823315941501993,15.918140323008279,0.6909185420779624,0.3127199197852716,103.0,191.01768387609934
3,1999.0,2001.0,2000.0,10.0,8.3,3.5300271700682075,8.021672954141543,2.2969586103741237,0.6606939159324782,20.059442479014344,0.8508002600545221,1.25812575588635,83.0,200.59442479014345
4,2002.0,2004.0,2003.0,1.0,6.0,1.8367014305466327,1.8367014305466327,1.6567860157741805,0.11324975733474865,9.940716094645083,0.1620892152270798,0.0685184215175053,6.0,9.940716094645083
5,2005.0,2007.0,2006.0,3.0,6.666666666666667,1.8497247879958205,2.3052167038456624,1.628874597635088,0.15646604944799272,11.096608093664344,0.46261156677589127,0.11017466984310235,20.0,33.28982428099303
6,2008.0,2010.0,2009.0,4.0,10.0,2.3935378927551305,2.7529915460353536,1.9168915531093487,0.31914470281981205,19.46943127838276,0.49961228377391215,0.6139933748221653,40.0,77.87772511353104
7,2011.0,2013.0,2012.0,12.0,14.5,2.613972101998148,5.927064240139778,1.9388158727621863,0.35769207308755485,37.38451730678852,0.46669671266528706,0.3721247770350367,174.0,448.61420768146223
8,2014.0,2016.0,2015.0,5.0,7.2,1.7083876468553953,2.290566628570005,1.4285704598521236,0.15889836332215712,10.892377031880205,0.22014905132419504,0.2391509336245715,36.0,54.46188515940103
9,2017.0,2019.0,2018.0,2.0,6.0,2.084202817848979,2.350328803916991,1.7155186537815705,0.30464817195019883,9.998761781848145,0.44894384048250374,0.27192398234378545,12.0,19.99752356369629
