index_number,time_start,time_end,duration,peak_time,max_intensity,mean_intensity,cumulative_intensity
41,2015-07-05,2015-07-10,6,2015-07-06,1.5236466616019086,1.2820884760042255,7.692530856025353
42,2015-09-17,2015-09-21,5,2015-09-18,1.645516624509586,1.3441328946901792,6.720664473450896
43,2015-10-01,2015-10-06,6,2015-10-02,1.7316856621221035,1.4459709214741767,8.67582552884506
44,2016-01-09,2016-01-14,6,2016-01-12,2.68312000022701,2.337397473794456,14.024384842766736
45,2016-03-18,2016-04-03,17,2016-03-20,3.511606358589468,2.2542953726223414,38.323021334579806
46,2016-04-15,2016-04-21,7,2016-04-17,1.7212415404214276,1.5490775537205554,10.843542876043887
47,2016-11-11,2016-11-17,7,2016-11-12,2.0470352361591573,1.6784009931378796,11.748806951965157
48,2017-03-08,2017-03-13,6,2017-03-12,2.816452569729009,2.1193899654111963,12.716339792467178
49,2017-08-25,2017-09-04,11,2017-08-27,1.7420739214058258,1.4573714441080816,16.031085885188897
50,2017-11-11,2017-11-15,5,2017-11-14,1.9343417934926705,1.6667130237230972,8.333565118615486
51,2018-10-27,2018-11-01,6,2018-11-01,4.520283196976024,3.219224385712339,19.315346314274034
52,2019-02-15,2019-02-21,7,2019-02-17,3.6413571624800056,2.8547837863502186,19.98348650445153
53,2019-03-21,2019-03-25,5,2019-03-21,2.1205946376883595,1.8398293517718742,9.19914675885937
54,2019-04-15,2019-04-23,9,2019-04-20,2.127950132754613,1.7243548574334255,15.51919371690083
55,2019-05-15,2019-05-19,5,2019-05-15,1.5597138064634457,1.4652784416744318,7.326392208372159
56,2019-07-08,2019-07-16,9,2019-07-10,1.6931001858063013,1.29886419067212,11.689777716049079
57,2019-07-26,2019-08-03,9,2019-08-03,1.1885235023969898,1.068701210217974,9.618310891961766
