index_number,start_year,end_year,centre_year,frequency,duration,max_intensity,max_max_intensity,mean_intensity,intensity_variablity,cumulative_intensity,rate_onset,rate_decline,mhw_days,total_cumulative_intensity
1,1993.0,1995.0,1994.0,4.0,6.0,2.6766089336118952,2.8038799160064585,2.213304584790827,0.33296584028617,13.347811386997229,0.7615804186692632,0.5043048712789622,24.0,53.391245547988916
2,1996.0,1998.0,1997.0,8.0,6.375,3.0501554623805855,4.133921694028288,2.5199240902501368,0.3327778123592037,15.883467683522877,1.308836150971785,0.41178140711989253,51.0,127.06774146818302
3,1999.0,2001.0,2000.0,6.0,9.333333333333334,3.2939720909004895,4.200057245417597,2.7772914434561975,0.38815227860997464,26.513352876974214,0.5233793834660104,1.137870325626463,56.0,159.0801172618453
4,2002.0,2004.0,2003.0,1.0,14.0,8.510318211697012,8.510318211697012,3.3344630552786896,2.0981678809964945,46.682482773901654,0.771421525492255,1.2364514157344124,14.0,46.682482773901654
5,2005.0,2007.0,2006.0,5.0,6.0,3.2635691916191307,4.002962699991137,2.610421957814036,0.3921894744488515,15.463932918195937,0.48131428635379736,1.0382765502020532,30.0,77.31966459097968
6,2008.0,2010.0,2009.0,7.0,6.285714285714286,2.8176616862998265,3.6595400605855843,2.3875375313002682,0.28167142035491577,15.202172775081454,1.6324169254236842,0.423649182723056,44.0,106.41520942557018
7,2011.0,2013.0,2012.0,8.0,10.125,3.032458958033307,4.150433560009272,2.385391130743756,0.400515036417509,23.796463491294798,0.5928463522235312,0.41311286934294283,81.0,190.37170793035838
8,2014.0,2016.0,2015.0,13.0,8.23076923076923,3.4083818142367126,4.59498276679863,2.752847277288681,0.48195057147595033,23.02581662988393,0.9347606471460714,0.4912112637694259,107.0,299.3356161884911
9,2017.0,2019.0,2018.0,7.0,9.571428571428571,3.4642560799732114,4.334299700431828,2.6926562476080718,0.5237750959267174,26.018005199250325,1.1075887938479965,0.3965177261503515,67.0,182.12603639475228
