index_number,start_year,end_year,centre_year,frequency,duration,max_intensity,max_max_intensity,mean_intensity,intensity_variablity,cumulative_intensity,rate_onset,rate_decline,mhw_days,total_cumulative_intensity
1,1993.0,1995.0,1994.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
2,1996.0,1998.0,1997.0,6.0,6.333333333333333,2.6781432872386723,3.5923494575245485,1.9784180891951488,0.445562461201735,12.641318328746635,0.8597099217445915,1.2101665031567403,38.0,75.84790997247981
3,1999.0,2001.0,2000.0,8.0,6.375,3.4824971833310645,7.603638146372084,2.3974721094302542,0.6473080231946731,14.714068345217193,1.1449602160207835,0.8953273870119263,51.0,117.71254676173754
4,2002.0,2004.0,2003.0,5.0,7.0,4.325473246301532,9.361844771097658,2.449242652842389,0.8564042566127155,17.040768854928814,1.2809972848208113,2.271150788645969,35.0,85.20384427464407
5,2005.0,2007.0,2006.0,6.0,11.166666666666666,3.012584877346704,4.8049902329405185,2.2143623607637837,0.6119892671880217,26.59999754452898,0.7244979646031569,0.29385683547860614,65.0,142.26438680890647
6,2008.0,2010.0,2009.0,7.0,6.142857142857143,2.352113435134123,3.283580730737608,1.9242837510811468,0.30880935906719087,12.015676019049362,0.8599244170552564,0.6753210323976024,45.0,101.44533059161294
7,2011.0,2013.0,2012.0,3.0,7.666666666666667,2.555926683149759,3.5399959201345865,1.9590491369934389,0.39092270397794887,15.135384850909327,0.8738538149168832,0.20454282132162827,23.0,45.40615455272798
8,2014.0,2016.0,2015.0,12.0,7.833333333333333,2.3047972065855857,4.117793166912556,1.8236310661827275,0.26026809031528697,15.505069867689874,0.5365860636334232,0.2864402895208346,94.0,186.06083841227849
9,2017.0,2019.0,2018.0,10.0,7.2,2.3344390909193242,4.520283196976024,1.8714510657074754,0.32330769066025083,12.973264490714033,0.43897523382959525,0.776014116555978,72.0,129.73264490714033
